x,curve,derivative
0,133,38
1,135,41
2,138,45
3,141,48
4,143,52
5,145,56
6,148,58
7,150,60
8,151,62
9,152,64
10,153,65
11,154,67
12,155,69
13,155,70
14,156,71
15,157,72
16,158,73
17,160,74
18,162,75
19,164,77
20,166,79
21,168,80
22,170,81
23,172,82
24,174,83
25,175,84
26,177,84
27,178,84
28,180,85
29,181,85
30,181,86
31,179,88
32,177,89
33,175,89
34,175,88
35,175,88
36,175,88
37,175,88
38,175,87
39,175,87
40,176,87
41,178,87
42,181,86
43,185,85
44,189,84
45,193,84
46,198,85
47,202,85
48,206,86
49,210,86
50,214,86
51,218,87
52,221,88
53,224,89
54,228,90
55,232,92
56,235,93
57,239,95
58,242,96
59,245,98
60,247,99
61,250,100
62,251,101
63,253,102
64,254,103
65,254,105
66,253,105
67,251,105
68,248,104
69,244,103
70,238,101
71,232,100
72,225,99
73,219,99
74,215,99
75,216,98
76,219,98
77,223,98
78,225,98
79,227,98
80,229,97
81,231,97
82,233,96
83,235,95
84,238,94
85,240,94
86,240,92
87,239,91
88,236,89
89,232,87
90,227,85
91,222,83
92,220,82
93,220,81
94,221,81
95,222,80
96,222,79
97,222,77
98,220,76
99,216,74
100,208,72
101,196,70
102,187,68
103,179,66
104,175,64
105,172,63
106,170,62
107,167,60
108,166,59
109,164,57
110,163,56
111,162,56
112,162,55
113,161,54
114,161,53
115,161,52
116,161,51
117,160,49
118,159,48
119,157,46
120,156,44
121,153,41
122,149,39
123,145,35
124,139,31
125,133,25
126,128,19
127,126,15
