x,max,mean,diff
0,156,56,100
1,156,58,98
2,158,63,95
3,160,68,92
4,162,73,89
5,164,77,87
6,166,81,85
7,168,84,84
8,170,87,83
9,171,90,81
10,172,92,80
11,172,94,78
12,174,96,78
13,175,98,77
14,175,99,76
15,176,101,75
16,177,102,75
17,177,103,74
18,178,104,74
19,178,105,73
20,179,106,73
21,179,107,72
22,180,108,72
23,180,108,72
24,181,109,72
25,181,110,71
26,182,110,72
27,182,111,71
28,183,111,72
29,183,111,72
30,183,112,71
31,183,112,71
32,184,112,72
33,184,112,72
34,184,112,72
35,184,112,72
36,184,111,73
37,183,110,73
38,182,109,73
39,180,108,72
40,179,107,72
41,178,106,72
42,177,104,73
43,176,103,73
44,176,101,75
45,175,100,75
46,176,99,77
47,176,98,78
48,178,97,81
49,180,97,83
50,182,97,85
51,185,97,88
52,188,97,91
53,192,98,94
54,196,99,97
55,200,99,101
56,203,100,103
57,207,102,105
58,210,103,107
59,214,104,110
60,218,105,113
61,222,107,115
62,226,108,118
63,230,109,121
64,235,111,124
65,239,113,126
66,243,114,129
67,246,115,131
68,249,117,132
69,251,118,133
70,252,119,133
71,253,120,133
72,252,120,132
73,251,120,131
74,249,120,129
75,245,119,126
76,240,117,123
77,232,115,117
78,224,113,111
79,216,112,104
80,209,111,98
81,204,110,94
82,202,110,92
83,201,110,91
84,202,110,92
85,204,110,94
86,206,110,96
87,207,110,97
88,209,111,98
89,210,111,99
90,211,110,101
91,211,110,101
92,211,109,102
93,209,107,102
94,208,106,102
95,206,104,102
96,204,102,102
97,202,101,101
98,201,100,101
99,200,99,101
100,199,98,101
101,197,97,100
102,196,96,100
103,194,94,100
104,192,93,99
105,189,91,98
106,186,89,97
107,183,87,96
108,180,85,95
109,179,83,96
110,178,81,97
111,178,80,98
112,178,78,100
113,178,77,101
114,179,75,104
115,178,73,105
116,178,71,107
117,177,68,109
118,176,66,110
119,174,64,110
120,173,61,112
121,170,59,111
122,166,55,111
123,160,52,108
124,154,47,107
125,145,42,103
126,134,36,98
127,126,33,93
